driving_record_id,policy_id,customer_id,vehicle_id,observation_month,driving_score,avg_trip_distance,trips_per_week,hard_brakes_count,rapid_acceleration_count,night_driving_pct,weekend_driving_pct,distracted_driving_flag,speeding_events_count,urban_driving_pct,highway_driving_pct,mileage_logged
DRV000001,POL00001,CUST00001,VEH00001,2025-01-01,78.0,15.94,10,6,5,0.223,0.415,0,1,0.712,0.231,1029.0
DRV000002,POL00001,CUST00001,VEH00001,2025-02-01,88.0,17.7,5,5,7,0.216,0.338,0,2,0.898,0.158,741.0
DRV000003,POL00001,CUST00001,VEH00001,2025-03-01,85.0,14.73,1,8,1,0.086,0.49,0,4,0.443,0.46,589.0
DRV000004,POL00001,CUST00001,VEH00001,2025-04-01,86.0,10.87,6,8,2,0.137,0.544,0,1,0.546,0.452,955.0
DRV000005,POL00001,CUST00001,VEH00001,2025-05-01,84.0,10.85,8,5,2,0.442,0.437,1,4,0.855,0.082,1344.0
DRV000006,POL00001,CUST00001,VEH00001,2025-06-01,76.0,8.92,5,3,6,0.329,0.65,0,6,0.707,0.292,754.0
DRV000007,POL00001,CUST00001,VEH00001,2025-07-01,74.0,18.28,3,5,7,0.147,0.388,0,7,0.846,0.03,771.0
DRV000008,POL00001,CUST00001,VEH00001,2025-08-01,74.0,8.73,3,3,7,0.434,0.13,0,11,0.779,0.287,958.0
DRV000009,POL00001,CUST00001,VEH00001,2025-09-01,94.0,13.03,9,8,7,0.344,0.666,0,3,0.742,0.262,1211.0
DRV000010,POL00001,CUST00001,VEH00001,2025-10-01,76.0,9.63,5,9,5,0.273,0.621,0,3,0.308,0.629,
DRV000011,POL00001,CUST00001,VEH00001,2025-11-01,82.0,7.04,8,6,3,0.239,0.247,0,3,0.627,0.286,862.0
DRV000012,POL00001,CUST00001,VEH00001,2025-12-01,77.0,16.17,5,9,7,0.096,0.23,0,3,0.706,0.28,629.0
DRV000013,POL00002,CUST00002,VEH00002,2025-01-01,74.0,5.6,5,5,7,0.059,0.729,0,10,0.793,0.227,1513.0
DRV000014,POL00002,CUST00002,VEH00002,2025-02-01,82.0,12.82,6,4,7,0.302,0.418,1,3,0.484,0.531,
DRV000015,POL00002,CUST00002,VEH00002,2025-03-01,67.0,12.6,4,14,6,0.047,0.572,1,10,0.703,0.292,1508.0
DRV000016,POL00002,CUST00002,VEH00002,2025-04-01,79.0,14.51,11,4,4,0.549,0.611,1,4,0.21,0.829,1394.0
DRV000017,POL00002,CUST00002,VEH00002,2025-05-01,80.0,5.69,12,3,4,0.193,0.472,1,2,0.801,0.027,1405.0
DRV000018,POL00002,CUST00002,VEH00002,2025-06-01,81.0,6.37,11,7,6,0.357,0.299,0,1,0.68,0.162,1455.0
DRV000019,POL00002,CUST00002,VEH00002,2025-07-01,83.0,20.1,5,5,6,0.08,0.244,0,4,0.476,0.654,1110.0
DRV000020,POL00002,CUST00002,VEH00002,2025-08-01,78.0,3.37,13,7,8,0.284,0.497,0,4,0.72,0.412,1525.0
DRV000021,POL00002,CUST00002,VEH00002,2025-09-01,70.0,11.51,7,8,9,0.273,0.538,0,9,0.451,0.449,1699.0
DRV000022,POL00002,CUST00002,VEH00002,2025-10-01,68.0,9.82,10,14,7,0.149,0.17,0,5,0.664,0.337,1616.0
DRV000023,POL00002,CUST00002,VEH00002,2025-11-01,79.0,4.9,9,7,2,0.44,0.453,1,4,0.728,0.211,834.0
DRV000024,POL00002,CUST00002,VEH00002,2025-12-01,79.0,10.89,8,8,8,0.229,0.706,0,3,0.739,0.307,1719.0
DRV000025,POL00003,CUST00003,VEH00003,2025-01-01,63.0,8.5,4,14,9,0.239,0.357,0,7,0.669,0.282,369.0
DRV000026,POL00003,CUST00003,VEH00003,2025-02-01,78.0,15.07,7,6,5,0.202,0.75,0,7,0.346,0.729,79.0
DRV000027,POL00003,CUST00003,VEH00003,2025-03-01,95.0,12.41,5,4,7,0.307,0.674,0,1,0.409,0.535,88.0
DRV000028,POL00003,CUST00003,VEH00003,2025-04-01,86.0,12.65,6,2,6,0.397,0.3,1,4,0.698,0.309,464.0
DRV000029,POL00003,CUST00003,VEH00003,2025-05-01,89.0,7.33,7,12,5,0.15,0.154,0,5,0.45,0.583,322.0
DRV000030,POL00003,CUST00003,VEH00003,2025-06-01,61.0,13.87,3,16,12,0.288,0.325,1,10,0.682,0.254,419.0
DRV000031,POL00003,CUST00003,VEH00003,2025-07-01,80.0,13.77,8,3,3,0.126,0.454,1,6,0.553,0.476,644.0
DRV000032,POL00003,CUST00003,VEH00003,2025-08-01,75.0,15.06,4,8,7,0.085,0.651,0,6,0.484,0.561,360.0
DRV000033,POL00003,CUST00003,VEH00003,2025-09-01,81.0,13.43,8,6,11,0.135,0.228,0,1,0.788,0.149,175.0
DRV000034,POL00003,CUST00003,VEH00003,2025-10-01,89.0,1.58,6,7,12,0.238,0.353,1,4,0.701,0.146,50.0
DRV000035,POL00003,CUST00003,VEH00003,2025-11-01,77.0,8.47,4,6,5,0.446,0.317,0,5,0.562,0.48,238.0
DRV000036,POL00003,CUST00003,VEH00003,2025-12-01,65.0,14.31,6,10,9,0.209,0.262,0,10,0.626,0.346,767.0
DRV000037,POL00004,CUST00004,VEH00004,2025-01-01,85.0,19.9,9,6,5,0.611,0.21,1,4,0.74,0.296,745.0
DRV000038,POL00004,CUST00004,VEH00004,2025-02-01,92.0,18.39,11,10,8,0.078,0.48,0,3,0.511,0.47,817.0
DRV000039,POL00004,CUST00004,VEH00004,2025-03-01,83.0,6.68,4,6,4,0.129,0.502,0,1,0.815,0.241,1274.0
DRV000040,POL00004,CUST00004,VEH00004,2025-04-01,85.0,14.24,8,7,8,0.098,0.376,0,0,0.739,0.458,723.0
DRV000041,POL00004,CUST00004,VEH00004,2025-06-01,85.0,8.25,9,6,7,0.24,0.485,0,6,0.474,0.555,1267.0
DRV000042,POL00004,CUST00004,VEH00004,2025-07-01,86.0,13.2,13,5,5,0.351,0.301,1,4,0.724,0.215,618.0
DRV000043,POL00004,CUST00004,VEH00004,2025-08-01,94.0,12.41,9,4,7,0.121,0.647,0,2,0.573,0.56,764.0
DRV000044,POL00004,CUST00004,VEH00004,2025-09-01,67.0,12.87,9,12,13,0.127,0.531,0,11,0.739,0.206,973.0
DRV000045,POL00004,CUST00004,VEH00004,2025-11-01,76.0,6.56,7,5,5,0.497,0.371,0,7,0.506,0.488,1052.0
DRV000046,POL00004,CUST00004,VEH00004,2025-12-01,82.0,13.3,8,6,8,0.134,0.393,0,2,0.722,0.273,1141.0
DRV000047,POL00005,CUST00005,VEH00005,2025-01-01,73.0,10.09,9,9,7,0.089,0.393,0,6,0.679,0.34,405.0
DRV000048,POL00005,CUST00005,VEH00005,2025-02-01,79.0,3.68,7,9,4,0.126,0.486,0,1,0.783,0.32,
DRV000049,POL00005,CUST00005,VEH00005,2025-04-01,81.0,12.23,9,4,10,0.383,0.179,1,8,0.702,0.379,776.0
DRV000050,POL00005,CUST00005,VEH00005,2025-10-01,91.0,4.23,1,4,8,0.175,0.411,0,2,0.894,0.039,1111.0
DRV000051,POL00005,CUST00005,VEH00005,2025-11-01,78.0,8.86,7,8,1,0.432,0.292,0,5,0.661,0.286,1091.0
DRV000052,POL00005,CUST00005,VEH00005,2025-12-01,82.0,14.82,7,9,3,0.157,0.423,1,5,0.484,0.474,1226.0
DRV000053,POL00006,CUST00006,VEH00006,2025-01-01,77.0,11.14,7,3,6,0.335,0.495,0,3,0.819,0.194,1050.0
DRV000054,POL00006,CUST00006,VEH00006,2025-02-01,87.0,17.34,9,10,3,0.063,0.288,0,2,0.493,0.525,834.0
DRV000055,POL00006,CUST00006,VEH00006,2025-03-01,80.0,18.32,10,5,3,0.084,0.465,0,2,0.81,0.086,1350.0
DRV000056,POL00006,CUST00006,VEH00006,2025-04-01,90.0,10.33,5,7,9,0.316,0.395,0,2,0.805,0.237,1110.0
DRV000057,POL00006,CUST00006,VEH00006,2025-05-01,80.0,2.81,5,7,11,0.182,0.696,0,7,0.421,0.578,1409.0
DRV000058,POL00006,CUST00006,VEH00006,2025-06-01,77.0,9.27,6,7,6,0.154,0.513,0,2,0.708,0.25,873.0
DRV000059,POL00006,CUST00006,VEH00006,2025-07-01,87.0,15.03,8,2,4,0.352,0.345,0,2,0.614,0.375,1023.0
DRV000060,POL00006,CUST00006,VEH00006,2025-08-01,76.0,13.37,4,11,4,0.276,0.536,0,4,0.575,0.435,738.0
DRV000061,POL00006,CUST00006,VEH00006,2025-09-01,82.0,11.24,12,6,5,0.112,0.36,1,5,0.835,0.353,1347.0
DRV000062,POL00006,CUST00006,VEH00006,2025-10-01,82.0,13.93,10,10,4,0.254,0.354,0,0,0.655,0.336,736.0
DRV000063,POL00006,CUST00006,VEH00006,2025-11-01,72.0,12.14,8,5,8,0.314,0.387,0,16,0.561,0.454,1344.0
DRV000064,POL00006,CUST00006,VEH00006,2025-12-01,67.0,12.51,7,15,10,0.381,0.288,1,9,0.872,0.19,1259.0
DRV000065,POL00007,CUST00007,VEH00007,2025-01-01,92.0,2.76,10,9,1,0.192,0.305,0,8,0.851,0.228,819.0
DRV000066,POL00007,CUST00007,VEH00007,2025-02-01,79.0,9.73,6,2,9,0.15,0.485,1,5,0.635,0.286,399.0
DRV000067,POL00007,CUST00007,VEH00007,2025-03-01,98.0,10.46,7,7,7,0.112,0.492,0,3,0.485,0.534,1036.0
DRV000068,POL00007,CUST00007,VEH00007,2025-05-01,81.0,12.61,5,14,7,0.305,0.514,0,5,0.479,0.545,214.0
DRV000069,POL00007,CUST00007,VEH00007,2025-09-01,87.0,17.99,4,11,8,0.226,0.188,0,2,0.777,0.142,1164.0
DRV000070,POL00007,CUST00007,VEH00007,2025-12-01,77.0,16.95,9,10,4,0.303,0.425,0,6,0.625,0.363,416.0
DRV000071,POL00008,CUST00008,VEH00008,2025-01-01,70.0,16.15,5,9,13,0.114,0.619,1,14,0.665,0.177,
DRV000072,POL00008,CUST00008,VEH00008,2025-02-01,76.0,17.35,9,5,2,0.215,0.631,0,2,0.587,0.219,991.0
DRV000073,POL00008,CUST00008,VEH00008,2025-03-01,73.0,15.73,7,2,10,0.137,0.651,0,12,0.615,0.438,953.0
DRV000074,POL00008,CUST00008,VEH00008,2025-04-01,63.0,7.75,5,12,13,0.346,0.255,0,11,0.596,0.306,633.0
DRV000075,POL00008,CUST00008,VEH00008,2025-05-01,81.0,11.03,12,10,5,0.244,0.561,0,2,0.739,0.222,403.0
DRV000076,POL00008,CUST00008,VEH00008,2025-06-01,77.0,6.04,8,5,5,0.302,0.612,0,5,0.437,0.543,
DRV000077,POL00008,CUST00008,VEH00008,2025-07-01,73.0,10.66,9,6,5,0.224,0.481,0,6,0.76,0.195,234.0
DRV000078,POL00008,CUST00008,VEH00008,2025-09-01,93.0,15.98,10,6,7,0.1,0.358,0,2,0.663,0.428,1299.0
DRV000079,POL00008,CUST00008,VEH00008,2025-10-01,85.0,2.73,9,12,8,0.103,0.652,0,4,0.553,0.42,447.0
DRV000080,POL00008,CUST00008,VEH00008,2025-11-01,76.0,14.68,11,4,4,0.092,0.439,0,3,0.568,0.457,819.0
DRV000081,POL00009,CUST00008,VEH00009,2025-01-01,77.0,10.67,10,10,5,0.141,0.291,0,6,0.745,0.332,
DRV000082,POL00009,CUST00008,VEH00009,2025-02-01,96.0,15.48,8,5,7,0.106,0.377,1,2,0.683,0.335,994.0
DRV000083,POL00009,CUST00008,VEH00009,2025-03-01,77.0,12.37,12,12,9,0.192,0.418,0,2,0.548,0.405,846.0
DRV000084,POL00009,CUST00008,VEH00009,2025-04-01,76.0,5.89,8,2,7,0.302,0.247,0,5,0.695,0.341,522.0
DRV000085,POL00009,CUST00008,VEH00009,2025-05-01,85.0,14.62,4,2,8,0.103,0.409,0,7,0.437,0.541,720.0
DRV000086,POL00009,CUST00008,VEH00009,2025-06-01,82.0,10.05,7,9,10,0.166,0.466,0,9,0.294,0.656,609.0
DRV000087,POL00009,CUST00008,VEH00009,2025-07-01,81.0,13.56,4,4,9,0.327,0.156,0,3,0.493,0.366,789.0
DRV000088,POL00009,CUST00008,VEH00009,2025-08-01,87.0,5.09,10,6,9,0.416,0.675,1,0,0.627,0.406,679.0
DRV000089,POL00009,CUST00008,VEH00009,2025-09-01,72.0,5.44,9,1,5,0.16,0.584,0,4,0.604,0.474,974.0
DRV000090,POL00009,CUST00008,VEH00009,2025-10-01,79.0,19.01,3,10,3,0.084,0.532,0,3,0.492,0.473,618.0
DRV000091,POL00009,CUST00008,VEH00009,2025-11-01,71.0,15.0,8,8,4,0.36,0.727,0,12,0.582,0.409,589.0
DRV000092,POL00009,CUST00008,VEH00009,2025-12-01,85.0,13.83,4,13,7,0.16,0.336,0,4,0.585,0.393,743.0
