policy_id,customer_id,vehicle_id,policy_start_date,policy_end_date,policy_type,coverage_level,deductible,risk_score,base_premium,telematics_discount_pct,loyalty_discount_pct,bundled_discount_pct,final_monthly_premium,payment_frequency,autopay_flag,policy_status,renewal_flag,churn_flag,cancellation_reason,payment_timeliness_score,premium_band,total_discount_pct,discount_band,risk_band,age,state,city,income_band,credit_tier,customer_segment,tenure_months,vehicle_make,vehicle_model,vehicle_year,vehicle_type,vehicle_value_estimate,annual_mileage,primary_use,total_premium_paid,total_discount_amount,total_support_cost,total_claim_cost,estimated_customer_ltv,estimated_net_value,profitability_segment,ticket_count,avg_resolution_time_hours,avg_csat,escalation_rate,refund_rate,total_refund_amount,support_burden_band,claim_count,total_estimated_claim_cost,total_approved_claim_amount
POL00001,CUST00001,VEH00001,2024-11-02,2025-11-01,premium,enhanced,500,0.625,88.78,9.71,3,0.0,77.5,quarterly,1,active,0,0,,72.9,low,12.71,high,moderate_risk,60.0,California,Sacramento,middle,excellent,standard,31.0,Nissan,Rogue,2021,suv,28551.65,10786,commuting,852.5,124.08,116.74,0.0,852.5,735.76,medium,4.0,10.23,4.0,0.0,0.0,0.0,moderate,0.0,0.0,0.0
POL00002,CUST00002,VEH00002,2024-10-15,2025-10-14,full_coverage,enhanced,1000,0.907,110.91,6.47,7,0.0,95.97,monthly,0,active,0,0,,100.0,mid,13.469999999999999,high,high_risk,19.0,Florida,Miami,lower_middle,poor,standard,2.0,Kia,Forte,2013,sedan,3895.43,17869,commercial_light,959.7,149.39999999999998,0.0,0.0,959.7,959.7,medium,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0
POL00003,CUST00003,VEH00003,2024-12-20,2025-12-19,premium,comprehensive,1000,0.741,66.03,9.12,0,0.0,60.01,monthly,1,renewed,1,0,,60.3,low,9.12,moderate,moderate_risk,35.0,Pennsylvania,Erie,low,excellent,budget,45.0,Chevrolet,Bolt,2015,hatchback,10185.3,2500,family,720.12,72.24000000000004,40.74,0.0,1116.186,679.38,medium,2.0,5.46,4.0,0.0,0.0,0.0,low,0.0,0.0,0.0
POL00004,CUST00004,VEH00004,2025-02-17,2026-02-16,liability_only,comprehensive,500,0.601,82.01,8.24,0,0.0,75.25,quarterly,1,active,0,0,,62.5,low,8.24,moderate,moderate_risk,32.0,Texas,Dallas,lower_middle,good,standard,32.0,Honda,Accord,2022,sedan,27746.85,10205,commuting,827.75,74.36000000000006,97.55,0.0,827.75,730.2,medium,1.0,38.19,2.0,1.0,0.0,0.0,low,0.0,0.0,0.0
POL00005,CUST00005,VEH00005,2025-02-19,2026-02-18,premium,basic,500,0.598,65.17,5.88,5,8.0,52.87,monthly,1,active,0,0,,68.7,low,18.88,high,low_risk,40.0,Ohio,Cleveland,middle,fair,standard,4.0,Hyundai,Elantra,2015,hatchback,7384.33,11007,leisure,581.5699999999999,135.30000000000004,0.0,0.0,581.5699999999999,581.5699999999999,medium,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0
POL00006,CUST00006,VEH00006,2025-08-16,2026-08-15,standard,comprehensive,250,0.692,51.26,,0,4.0,46.04,monthly,1,cancelled,0,1,price_increase,95.1,low,4.0,low,moderate_risk,75.0,New York,Rochester,,fair,standard,8.0,Kia,Rio,2012,sedan,6058.28,14406,leisure,230.2,26.099999999999994,107.4,0.0,230.2,122.79999999999998,low,3.0,12.25,1.0,0.3333333333333333,0.0,0.0,moderate,0.0,0.0,0.0
POL00007,CUST00007,VEH00007,2024-01-13,2025-01-11,standard,comprehensive,1500,0.615,94.72,4.41,0,0.0,90.54,quarterly,1,lapsed,0,1,claim_dispute,69.3,mid,4.41,low,moderate_risk,29.0,California,San Diego,middle,fair,high_value,19.0,Ford,Mustang,2023,coupe,23310.75,8799,family,90.54,4.179999999999993,560.0699999999999,0.0,90.54,-469.5299999999999,negative,7.0,63.03857142857142,3.0,0.2857142857142857,0.0,0.0,high,1.0,371.32,0.0
POL00008,CUST00008,VEH00008,2025-04-28,2026-04-27,liability_only,comprehensive,500,0.846,95.88,2.65,0,0.0,93.34,monthly,1,active,0,0,,100.0,mid,2.65,low,moderate_risk,22.0,Illinois,Springfield,upper_middle,good,standard,33.0,Honda,Civic,2018,sedan,17420.85,10053,mixed,840.0600000000001,22.85999999999993,37.66,0.0,840.0600000000001,802.4000000000001,medium,1.0,24.58,1.0,1.0,0.0,0.0,low,0.0,0.0,0.0
POL00009,CUST00008,VEH00009,2025-06-08,2026-06-07,standard,basic,500,0.735,60.45,6.47,7,6.0,48.68,monthly,0,lapsed,0,1,moved_to_competitor,69.6,low,19.47,high,moderate_risk,22.0,Illinois,Springfield,upper_middle,good,standard,33.0,Chevrolet,Silverado,2012,pickup,7684.64,9652,family,340.76,82.39000000000001,49.22,0.0,340.76,291.54,low,1.0,14.02,5.0,0.0,0.0,0.0,low,0.0,0.0,0.0
POL00010,CUST00009,VEH00010,2024-06-01,2025-05-31,standard,basic,1000,0.542,46.54,8.82,5,0.0,40.11,monthly,1,active,0,0,,84.5,low,13.82,high,low_risk,31.0,Texas,Houston,low,good,premium,22.0,Subaru,Impreza,2022,coupe,23920.25,4241,mixed,200.55,32.15,17.39,0.0,200.55,183.16000000000005,low,1.0,1.74,4.0,0.0,0.0,0.0,low,0.0,0.0,0.0
