ticket_id,customer_id,policy_id,ticket_open_date,ticket_close_date,issue_type,issue_severity,support_channel,resolution_status,resolution_time_hours,escalation_flag,repeat_ticket_flag,csat_score,refund_or_credit_given_flag,refund_or_credit_amount,policy_type,coverage_level,policy_status,renewal_flag,churn_flag,premium_band,discount_band,risk_band,customer_segment,state,income_band
TIC000001,CUST00255,POL00274,2025-07-29 00:00:00,2025-07-30 21:05:24.000000000,policy_change_request,critical,email,resolved,45.09,0,0,4.0,0,0.0,premium,enhanced,active,0,0,low,low,moderate_risk,budget,New York,upper_middle
TIC000002,CUST00665,POL00729,2025-04-23 00:00:00,,policy_change_request,low,email,pending,3.9,0,0,,0,0.0,full_coverage,basic,active,0,0,low,high,moderate_risk,standard,North Carolina,middle
TIC000003,CUST00481,POL00525,2025-01-09 00:00:00,,mileage_sync_issue,medium,phone,pending,22.2,0,0,,0,0.0,full_coverage,enhanced,active,0,0,mid,very_high,moderate_risk,standard,Florida,
TIC000004,CUST00347,POL01238,2025-10-10 00:00:00,,discount_dispute,critical,chat,pending,72.19,0,0,,0,0.0,standard,enhanced,cancelled,0,1,low,low,moderate_risk,standard,New York,lower_middle
TIC000005,CUST00506,POL00551,2025-04-15 00:00:00,2025-04-15 08:41:59.999999999,payment_failure,low,chat,resolved,8.7,0,1,4.0,0,0.0,standard,enhanced,active,0,0,mid,high,moderate_risk,budget,California,lower_middle
TIC000006,CUST00292,POL00319,2025-08-17 00:00:00,2025-08-17 02:21:36.000000000,discount_dispute,low,self_service,resolved,2.36,0,0,,0,0.0,standard,comprehensive,active,0,0,low,low,moderate_risk,budget,Florida,high
TIC000007,CUST00813,POL00889,2025-07-08 00:00:00,2025-07-08 05:57:00.000000000,billing_issue,low,chat,resolved,5.95,0,0,3.0,0,0.0,standard,enhanced,renewed,1,0,low,high,moderate_risk,standard,North Carolina,lower_middle
TIC000008,CUST00895,POL00982,2025-02-17 00:00:00,2025-02-17 20:49:48.000000000,account_update_request,medium,email,resolved,20.83,0,1,5.0,0,0.0,standard,comprehensive,active,0,0,low,high,moderate_risk,standard,North Carolina,high
TIC000009,CUST00347,POL00379,2025-04-01 00:00:00,2025-04-03 05:07:12.000000000,discount_dispute,high,chat,resolved,53.12,0,1,1.0,0,0.0,standard,basic,renewed,1,0,low,high,moderate_risk,standard,New York,lower_middle
TIC000010,CUST00915,POL01005,2025-04-03 00:00:00,,policy_change_request,low,phone,pending,4.4,0,0,,0,0.0,premium,comprehensive,active,0,0,mid,moderate,moderate_risk,premium,California,middle
TIC000011,CUST00579,POL00636,2025-03-25 00:00:00,2025-03-26 04:50:24.000000000,billing_issue,medium,email,resolved,28.84,0,0,5.0,0,0.0,standard,comprehensive,renewed,1,0,low,low,moderate_risk,standard,Pennsylvania,lower_middle
TIC000012,CUST00737,POL00808,2025-12-18 00:00:00,,discount_dispute,medium,phone,pending,13.32,0,0,,1,42.43,liability_only,basic,lapsed,0,1,low,low,moderate_risk,budget,Texas,upper_middle
TIC000013,CUST00133,POL00143,2025-03-15 00:00:00,,mileage_sync_issue,low,email,pending,0.5,0,1,,0,0.0,liability_only,comprehensive,renewed,1,0,low,high,moderate_risk,budget,Texas,lower_middle
TIC000014,CUST00527,POL01236,2025-02-21 00:00:00,2025-02-22 19:43:12.000000000,payment_failure,high,chat,resolved,43.72,0,1,2.0,0,0.0,standard,enhanced,active,0,0,low,low,moderate_risk,budget,Georgia,middle
TIC000015,CUST00721,POL00787,2025-01-11 00:00:00,,mileage_sync_issue,low,phone,escalated,10.33,1,0,3.0,1,10.34,liability_only,enhanced,lapsed,0,1,low,high,moderate_risk,standard,Texas,low
TIC000016,CUST00251,POL00271,2025-05-08 00:00:00,2025-05-08 01:09:36.000000000,mileage_sync_issue,medium,phone,resolved,1.16,0,1,5.0,0,0.0,liability_only,enhanced,active,0,0,low,high,low_risk,budget,Illinois,upper_middle
TIC000017,CUST00271,POL00293,2025-11-18 00:00:00,2025-11-18 06:33:00.000000000,app_login_issue,low,phone,resolved,6.55,0,0,2.0,0,0.0,full_coverage,basic,cancelled,0,1,mid,moderate,moderate_risk,premium,North Carolina,upper_middle
TIC000018,CUST00019,POL00020,2025-02-24 00:00:00,2025-02-24 00:30:00.000000000,claim_status_question,medium,email,resolved,0.5,0,0,5.0,0,0.0,standard,enhanced,lapsed,0,1,low,moderate,moderate_risk,standard,Ohio,low
TIC000019,CUST00894,POL00981,2025-03-21 00:00:00,2025-03-28 01:39:36.000000000,discount_dispute,critical,phone,resolved,169.66,0,0,3.0,0,0.0,standard,basic,active,0,0,mid,high,low_risk,high_value,New York,middle
TIC000020,CUST00503,POL00548,2025-11-18 00:00:00,2025-11-18 16:13:48.000000000,mileage_sync_issue,medium,chat,resolved,16.23,0,0,,0,0.0,premium,enhanced,active,0,0,low,low,moderate_risk,standard,North Carolina,low
TIC000021,CUST00084,POL00092,2025-02-22 00:00:00,,policy_change_request,high,email,pending,0.86,0,0,,0,0.0,standard,comprehensive,renewed,1,0,low,high,low_risk,standard,Texas,
TIC000022,CUST00270,POL00291,2025-01-01 00:00:00,,discount_dispute,medium,phone,pending,6.21,0,0,,0,0.0,premium,basic,active,0,0,low,moderate,moderate_risk,high_value,California,middle
