customer_id,policy_id,vehicle_id,total_premium_paid,total_discount_amount,total_support_cost,total_claim_cost,estimated_customer_ltv,estimated_net_value,profitability_segment
CUST00001,POL00001,VEH00001,852.5,124.08000000000001,116.74000000000001,0.0,852.5,735.76,medium
CUST00002,POL00002,VEH00002,959.7,149.39999999999998,0.0,0.0,959.7,959.7,medium
CUST00003,POL00003,VEH00003,720.12,72.24000000000004,40.739999999999995,0.0,1116.1860000000001,679.38,medium
CUST00004,POL00004,VEH00004,827.75,74.36000000000006,97.55,0.0,827.75,730.2,medium
CUST00005,POL00005,VEH00005,581.5699999999999,135.30000000000004,0.0,0.0,581.5699999999999,581.5699999999999,medium
CUST00006,POL00006,VEH00006,230.2,26.099999999999994,107.4,0.0,230.2,122.79999999999998,low
CUST00007,POL00007,VEH00007,90.54,4.179999999999993,560.0699999999999,0.0,90.54,-469.5299999999999,negative
CUST00008,POL00008,VEH00008,840.0600000000001,22.85999999999993,37.66,0.0,840.0600000000001,802.4000000000001,medium
CUST00008,POL00009,VEH00009,340.76,82.39000000000001,49.22,0.0,340.76,291.53999999999996,low
CUST00009,POL00010,VEH00010,200.55,32.15,17.39,0.0,200.55,183.16000000000003,low
CUST00010,POL00011,VEH00011,374.0,66.0,54.09,0.0,579.7,319.90999999999997,low
CUST00011,POL00012,VEH00012,608.16,28.08000000000004,0.0,0.0,608.16,608.16,medium
CUST00012,POL00013,VEH00013,559.04,111.20000000000005,28.95,0.0,559.04,530.0899999999999,medium
CUST00013,POL00014,VEH00014,469.2,106.71999999999997,157.59,0.0,727.26,311.61,low
CUST00014,POL00015,VEH00015,497.07,70.38,27.520000000000003,0.0,497.07,469.55,low
CUST00015,POL00016,VEH00016,296.48,23.519999999999982,37.23,0.0,296.48,259.25,low
CUST00016,POL00017,VEH00017,420.7,57.330000000000034,53.16,0.0,420.7,367.53999999999996,low
CUST00017,POL00018,VEH00018,377.95000000000005,48.39999999999996,223.39,0.0,377.95000000000005,154.56000000000006,low
CUST00018,POL00019,VEH00019,358.32,47.76000000000005,59.33,0.0,358.32,298.99,low
CUST00019,POL00020,VEH00020,624.51,41.12999999999994,22.4,0.0,624.51,602.11,medium
CUST00020,POL00021,VEH00021,856.4399999999999,62.72999999999999,64.96,0.0,1327.482,791.4799999999999,medium
CUST00021,POL00022,VEH00023,1078.8000000000002,138.95999999999998,102.85,0.0,1672.1400000000003,975.9500000000002,medium
CUST00022,POL00023,VEH00024,242.19,55.52999999999997,16.4,0.0,242.19,225.79,low
CUST00023,POL00024,VEH00025,974.49,41.910000000000025,27.43,0.0,974.49,947.0600000000001,medium
CUST00023,POL00025,VEH00026,484.75,74.27,79.03,0.0,484.75,405.72,low
CUST00024,POL00026,VEH00027,428.1,139.19999999999993,177.48000000000002,0.0,428.1,250.62,low
CUST00025,POL00027,VEH00028,417.40000000000003,82.69999999999996,151.44,0.0,417.40000000000003,265.96000000000004,low
CUST00026,POL00028,VEH00029,627.28,31.040000000000077,104.2,0.0,627.28,523.0799999999999,medium
CUST00027,POL00029,VEH00030,648.8,132.30000000000004,152.76999999999998,0.0,648.8,496.03,low
CUST00027,POL00030,VEH00031,370.53000000000003,46.89000000000001,305.1,0.0,574.3215,65.43,low
CUST00028,POL00031,VEH00032,218.10000000000002,21.89999999999999,51.77,0.0,218.10000000000002,166.33,low
CUST00029,POL00032,VEH00033,68.61,6.450000000000003,97.33,873.42,68.61,-902.14,negative
CUST00030,POL00033,VEH00034,943.3199999999999,34.559999999999945,0.0,0.0,1462.146,943.3199999999999,medium
CUST00031,POL00034,VEH00035,177.04999999999998,22.950000000000017,95.56,0.0,177.04999999999998,81.48999999999998,low
CUST00032,POL00035,VEH00036,286.65,61.45000000000003,21.08,0.0,286.65,265.57,low
CUST00032,POL00036,VEH00037,572.0,37.69999999999996,52.69,3254.42,572.0,-2735.11,negative
CUST00032,POL00037,VEH00038,388.29999999999995,80.19000000000007,86.54,0.0,388.29999999999995,301.75999999999993,low
