policy_id,customer_id,vehicle_id,policy_start_date,policy_end_date,policy_type,coverage_level,deductible,risk_score,base_premium,telematics_discount_pct,loyalty_discount_pct,bundled_discount_pct,final_monthly_premium,payment_frequency,autopay_flag,policy_status,renewal_flag,churn_flag,cancellation_reason,payment_timeliness_score
POL00001,CUST00001,VEH00001,2024-11-02,2025-11-01,premium,enhanced,500,0.625,88.78,9.71,3,0.0,77.5,quarterly,1,active,0,0,,72.9
POL00002,CUST00002,VEH00002,2024-10-15,2025-10-14,full_coverage,enhanced,1000,0.907,110.91,6.47,7,0.0,95.97,monthly,0,active,0,0,,100.0
POL00003,CUST00003,VEH00003,2024-12-20,2025-12-19,premium,comprehensive,1000,0.741,66.03,9.12,0,0.0,60.01,monthly,1,renewed,1,0,,60.3
POL00004,CUST00004,VEH00004,2025-02-17,2026-02-16,liability_only,comprehensive,500,0.601,82.01,8.24,0,0.0,75.25,quarterly,1,active,0,0,,62.5
POL00005,CUST00005,VEH00005,2025-02-19,2026-02-18,premium,basic,500,0.598,65.17,5.88,5,8.0,52.87,monthly,1,active,0,0,,68.7
POL00006,CUST00006,VEH00006,2025-08-16,2026-08-15,standard,comprehensive,250,0.692,51.26,,0,4.0,46.04,monthly,1,cancelled,0,1,price_increase,95.1
POL00007,CUST00007,VEH00007,2024-01-13,2025-01-11,standard,comprehensive,1500,0.615,94.72,4.41,0,0.0,90.54,quarterly,1,lapsed,0,1,claim_dispute,69.3
POL00008,CUST00008,VEH00008,2025-04-28,2026-04-27,liability_only,comprehensive,500,0.846,95.88,2.65,0,0.0,93.34,monthly,1,active,0,0,,100.0
POL00009,CUST00008,VEH00009,2025-06-08,2026-06-07,standard,basic,500,0.735,60.45,6.47,7,6.0,48.68,monthly,0,lapsed,0,1,moved_to_competitor,69.6
POL00010,CUST00009,VEH00010,2024-06-01,2025-05-31,standard,basic,1000,0.542,46.54,8.82,5,0.0,40.11,monthly,1,active,0,0,,84.5
POL00011,CUST00010,VEH00011,2025-02-11,2026-02-10,standard,comprehensive,250,0.564,40.0,10.0,5,0.0,34.0,quarterly,1,renewed,1,0,,68.3
POL00012,CUST00011,VEH00012,2024-08-21,2025-08-20,full_coverage,basic,500,0.614,79.53,4.41,0,0.0,76.02,quarterly,1, active,0,0,,48.1
POL00013,CUST00012,VEH00013,2024-08-20,2025-08-19,standard,enhanced,500,0.739,83.78,10.59,0,6.0,69.88,annual,0,cancelled,0,1,moved_to_competitor,97.6
POL00014,CUST00013,VEH00014,2024-08-02,2025-08-01,premium,enhanced,500,0.555,71.99,13.53,5,0.0,58.65,monthly,0,renewed,1,0,,75.8
POL00015,CUST00014,VEH00015,2025-04-30,2026-04-29,standard,basic,250,0.649,63.05,4.41,0,8.0,55.23,monthly,0,lapsed,0,1,moved_to_competitor,80.9
POL00016,CUST00015,VEH00016,2024-08-27,2025-08-26,standard,basic,250,0.563,40.0,7.35,0,0.0,37.06,monthly,1,active,0,0,,90.3
POL00017,CUST00016,VEH00017,2025-06-12,2026-06-11,standard,enhanced,250,0.804,68.29,5.0,3,,60.1,monthly,1,active,0,0,,100.0
POL00018,CUST00017,VEH00018,2025-08-24,2026-08-23,full_coverage,comprehensive,250,0.638,85.27,7.35,0,4.0,75.59,monthly,1,active,0,0,,87.0
POL00019,CUST00018,VEH00019,2025-07-19,2026-07-18,full_coverage,comprehensive,1000,0.694,67.68,11.76,0,0.0,59.72,monthly,1,active,0,0,,86.6
POL00020,CUST00019,VEH00020,2025-04-24,2026-04-23,standard,enhanced,1000,0.758,73.96,6.18,0,0.0,69.39,quarterly,0,lapsed,0,1,moved_to_competitor,89.9
POL00021,CUST00020,VEH00021,2025-04-17,2026-04-16,liability_only,comprehensive,1000,0.771,102.13,3.82,3,0.0,95.16,quarterly,0,renewed,1,0,,63.9
POL00022,CUST00021,VEH00023,2024-12-14,2025-12-13,standard,enhanced,500,0.689,101.48,,7,0.0,89.9,monthly,0,renewed,1,0,,70.7
POL00023,CUST00022,VEH00024,2024-03-28,2025-03-27,full_coverage,comprehensive,500,0.694,99.24,7.65,5,6.0,80.73,quarterly,1,active,0,0,,84.1
POL00024,CUST00023,VEH00025,2024-11-16,2025-11-15,premium,enhanced,250,0.657,92.4,4.12,0,0.0,88.59,semiannual,1,active,0,0,,83.0
POL00025,CUST00023,VEH00026,2024-07-11,2025-07-10,full_coverage,enhanced,1500,0.627,79.86,5.29,0,8.0,69.25,quarterly,1,active,0,0,,69.0
POL00026,CUST00024,VEH00027,2025-03-15,2026-03-14,full_coverage,enhanced,1000,0.614,56.73,13.53,5,6.0,42.81,quarterly,1,active,0,0,,82.4
POL00027,CUST00025,VEH00028,2025-03-03,2026-03-02,liability_only,basic,500,0.598,50.01,13.53,3,0.0,41.74,annual,0,active,0,0,,85.2
POL00028,CUST00026,VEH00029,2024-08-02,2025-08-01,standard,enhanced,250,0.596,82.29,4.71,0,0.0,78.41,monthly,0,active,0,0,,69.2
POL00029,CUST00027,VEH00030,2025-03-25,2026-03-24,standard,basic,1000,0.58,78.11,12.94,0,4.0,64.88,annual,1,active,0,0,,74.0
POL00030,CUST00027,VEH00031,2025-04-05,2026-04-04,standard,comprehensive,250,0.688,46.38,8.24,3,0.0,41.17,monthly,1,renewed,1,0,,86.5
POL00031,CUST00028,VEH00032,2025-07-25,2026-07-24,liability_only,basic,1500,0.745,40.0,9.12,0,0.0,36.35,quarterly,0,cancelled,0,1,service_issues,81.4
POL00032,CUST00029,VEH00033,2024-01-31,2025-01-29,full_coverage,basic,500,0.633,75.06,5.59,3,0.0,68.61,semiannual,1,Active,0,0,,87.1
POL00033,CUST00030,VEH00034,2025-01-18,2026-01-17,premium,basic,1000,0.634,81.49,3.53,0,0.0,78.61,monthly,1,renewed,1,0,,75.3
POL00034,CUST00031,VEH00035,2024-05-22,2025-05-21,standard,enhanced,250,0.561,40.0,11.47,0,0.0,35.41,quarterly,0,active,0,0,,88.7
POL00035,CUST00032,VEH00036,2025-08-14,2026-08-13,full_coverage,enhanced,1000,0.827,69.62,12.65,5,0.0,57.33,monthly,0,active,0,0,,67.3
POL00036,CUST00032,VEH00037,2024-05-11,2025-05-10,standard,enhanced,500,0.938,121.94,6.18,0,0.0,114.4,monthly,0,active,0,0,,90.6
POL00037,CUST00032,VEH00038,2024-11-08,2025-11-07,liability_only,enhanced,500,0.92,42.59,4.12,7,6.0,35.3,semiannual,1,lapsed,0,1,moved_to_competitor,87.9
POL00038,CUST00033,VEH00039,2024-01-10,2025-01-08,standard,enhanced,1500,0.648,43.06,4.12,5,6.0,36.55,semiannual,1,cancelled,0,1,moved_to_competitor,48.7
POL00039,CUST00034,VEH00040,2025-05-26,2026-05-25,standard,enhanced,1000,0.579,66.1,7.35,3,4.0,56.61,annual,1,lapsed,0,1,billing_problems,89.7
POL00040,CUST00035,VEH00041,2024-12-29,2025-12-28,full_coverage,enhanced,500,0.608,112.8,10.88,5,4.0,90.38,quarterly,1,cancelled,0,1,price_increase,82.4
POL00041,CUST00036,VEH00042,2024-12-13,2025-12-12,standard,basic,500,0.674,68.62,12.06,0,0.0,60.34,monthly,1,active,0,0,,76.6
POL00042,CUST00037,VEH00043,2024-08-18,2025-08-17,standard,comprehensive,1500,0.619,77.7,11.18,0,0.0,69.01,semiannual,0,renewed,1,0,,76.0
POL00043,CUST00038,VEH00044,2025-03-05,2026-03-04,standard,basic,250,0.637,40.0,7.94,3,0.0,35.62,annual,1,lapsed,0,1,moved_to_competitor,100.0
POL00044,CUST00038,VEH00045,2025-03-11,2026-03-10,standard,enhanced,500,0.622,56.53,14.71,5,4.0,43.13,monthly,1,cancelled,0,1,billing_problems,46.1
POL00045,CUST00039,VEH00046,2025-02-17,2026-02-16,premium,basic,1000,0.647,98.92,14.71,3,0.0,81.4,semiannual,1,active,0,0,,61.1
POL00046,CUST00040,VEH00047,2025-07-04,2026-07-03,liability_only,basic,250,0.723,78.75,11.47,0,,69.72,monthly,0,cancelled,0,1,price_increase,71.0
POL00047,CUST00041,VEH00048,2024-11-02,2025-11-01,premium,enhanced,500,0.572,83.45,7.06,3,4.0,172.128,semiannual,1,active,0,0,,82.1
POL00048,CUST00042,VEH00049,2024-11-29,2025-11-28,standard,enhanced,500,0.705,67.62,10.88,0,0.0,60.26,monthly,1,active,0,0,,80.9
POL00049,CUST00043,VEH00050,2025-08-24,2026-08-23,premium,enhanced,250,0.687,113.17,4.71,7,0.0,99.92,monthly,1,cancelled,0,1,price_increase,92.2
POL00050,CUST00043,VEH00051,2024-01-24,2025-01-22,premium,basic,1000,0.75,77.35,1.47,0,8.0,70.02,annual,1,cancelled,0,1,,93.6
POL00051,CUST00044,VEH00052,2025-08-04,2026-08-03,full_coverage,comprehensive,500,0.751,124.59,11.76,7,4.0,96.23,monthly,0,renewed,1,0,,73.7
POL00052,CUST00045,VEH00053,2024-02-02,2025-01-31,liability_only,enhanced,500,0.564,63.15,7.94,0,0.0,58.14,monthly,0,active,0,0,,53.3
POL00053,CUST00046,VEH00054,2024-05-22,2025-05-21,standard,basic,500,0.615,40.24,12.35,0,0.0,35.27,semiannual,0,active,0,0,,82.5
POL00054,CUST00047,VEH00055,2024-06-06,2025-06-05,full_coverage,enhanced,500,0.673,103.99,,3,4.0,88.14,monthly,1,active,0,0,,88.3
POL00055,CUST00048,VEH00056,2024-12-04,2025-12-03,standard,enhanced,500,0.815,65.98,12.94,0,0.0,57.44,monthly,1,lapsed,0,1,price_increase,100.0
POL00056,CUST00049,VEH00057,2025-08-04,2026-08-03,liability_only,basic,1000,0.626,43.42,5.88,0,0.0,40.87,monthly,0,active,0,0,,91.8
POL00057,CUST00050,VEH00058,2025-09-09,2026-09-08,standard,basic,500,0.601,52.98,8.82,3,0.0,46.72,quarterly,1,cancelled,0,1,service_issues,90.0
POL00058,CUST00050,VEH00059,2025-09-14,2026-09-13,liability_only,basic,250,0.741,52.4,10.88,7,0.0,43.03,monthly,0,renewed,1,0,,76.9
POL00059,CUST00051,VEH00060,2025-08-10,2026-08-09,liability_only,comprehensive,500,0.69,57.34,0.0,3,0.0,55.62,quarterly,1,renewed,1,0,,76.4
POL00060,CUST00052,VEH00061,2025-02-04,2026-02-03,standard,enhanced,1000,0.686,53.87,8.82,0,0.0,49.12,semiannual,0,lapsed,0,1,claim_dispute,74.6
POL00061,CUST00053,VEH00062,2025-01-25,2026-01-24,full_coverage,basic,500,0.659,40.0,8.53,5,0.0,34.59,semiannual,1,renewed,1,0,,68.9
POL00062,CUST00054,VEH00063,2024-07-28,2025-07-27,premium,basic,500,0.683,70.22,6.76,5,0.0,61.96,monthly,1,active,0,0,,69.7
POL00063,CUST00055,VEH00064,2025-02-04,2026-02-03,premium,basic,500,0.81,40.0,12.35,7,0.0,32.26,monthly,0,cancelled,0,1,price_increase,91.9
POL00064,CUST00056,VEH00065,2024-03-06,2025-03-05,standard,enhanced,250,0.638,54.14,6.76,3,,48.86,monthly,1,active,0,0,,70.4
POL00065,CUST00057,VEH00066,2025-07-01,2026-06-30,full_coverage,basic,500,0.699,40.0,5.88,0,0.0,37.65,monthly,1,Cancelled,0,1,service_issues,52.5
POL00066,CUST00058,VEH00067,2025-01-30,2026-01-29,liability_only,comprehensive,1000,0.643,71.06,12.65,0,8.0,56.39,annual,1,active,0,0,,74.4
POL00067,CUST00059,VEH00068,2024-07-11,2025-07-10,full_coverage,enhanced,250,0.548,80.44,12.35,0,4.0,67.29,semiannual,1,lapsed,0,1,price_increase,100.0
POL00068,CUST00060,VEH00069,2025-05-01,2026-04-30,liability_only,enhanced,1000,0.644,66.88,13.82,3,4.0,52.96,monthly,1,cancelled,0,1,billing_problems,62.5
POL00069,CUST00060,VEH00070,2024-04-21,2025-04-20,full_coverage,comprehensive,500,0.656,56.87,10.88,3,0.0,48.98,monthly,1,active,0,0,,85.6
