ticket_id,customer_id,policy_id,ticket_open_date,ticket_close_date,issue_type,issue_severity,support_channel,resolution_status,resolution_time_hours,escalation_flag,repeat_ticket_flag,csat_score,refund_or_credit_given_flag,refund_or_credit_amount
TIC000001,CUST00255,POL00274,2025-07-29 00:00:00,2025-07-30 21:05:24.000000000,policy_change_request,critical,email,resolved,45.09,0,0,4.0,0,0.0
TIC000002,CUST00665,POL00729,2025-04-23 00:00:00,,POLICY_CHANGE_REQUEST,low,email,pending,3.9,0,0,,0,0.0
TIC000003,CUST00481,POL00525,2025-01-09 00:00:00,,mileage_sync_issue,medium,phone,pending,22.2,0,0,,0,0.0
TIC000004,CUST00347,POL01238,2025-10-10 00:00:00,,discount_dispute,critical,chat,pending,72.19,0,0,,0,0.0
TIC000005,CUST00506,POL00551,2025-04-15 00:00:00,2025-04-15 08:41:59.999999999,payment_failure,low,chat,resolved,8.7,0,1,4.0,0,0.0
TIC000006,CUST00292,POL00319,2025-08-17 00:00:00,2025-08-17 02:21:36.000000000,discount_dispute,low,self_service,resolved,2.36,0,0,,0,0.0
TIC000007,CUST00813,POL00889,2025-07-08 00:00:00,2025-07-08 05:57:00.000000000,billing_issue,low,chat,resolved,5.95,0,0,3.0,0,0.0
TIC000008,CUST00895,POL00982,2025-02-17 00:00:00,2025-02-17 20:49:48.000000000,account_update_request,medium,email,resolved,20.83,0,1,5.0,0,0.0
TIC000009,CUST00347,POL00379,2025-04-01 00:00:00,2025-04-03 05:07:12.000000000,discount_dispute,high,chat,resolved,53.12,0,1,1.0,0,0.0
TIC000010,CUST00915,POL01005,2025-04-03 00:00:00,,policy_change_request,low,phone,pending,4.4,0,0,,0,0.0
TIC000011,CUST00579,POL00636,2025-03-25 00:00:00,2025-03-26 04:50:24.000000000,billing_issue,medium,email,resolved,28.84,0,0,5.0,0,0.0
TIC000012,CUST00737,POL00808,2025-12-18 00:00:00,,discount_dispute,medium,phone,pending,13.32,0,0,,1,42.43
TIC000013,CUST00133,POL00143,2025-03-15 00:00:00,,mileage_sync_issue,low,email,pending,0.5,0,1,,0,0.0
TIC000014,CUST00527,POL01236,2025-02-21 00:00:00,2025-02-22 19:43:12.000000000,payment_failure,high,chat,resolved,43.72,0,1,2.0,0,0.0
TIC000015,CUST00721,POL00787,2025-01-11 00:00:00,,mileage_sync_issue,low,phone,escalated,10.33,1,0,3.0,1,10.34
TIC000016,CUST00251,POL00271,2025-05-08 00:00:00,2025-05-08 01:09:36.000000000,mileage_sync_issue,medium,phone,resolved,1.16,0,1,5.0,0,0.0
TIC000017,CUST00271,POL00293,2025-11-18 00:00:00,2025-11-18 06:33:00.000000000,app_login_issue,low,phone,resolved,6.55,0,0,2.0,0,0.0
TIC000018,CUST00019,POL00020,2025-02-24 00:00:00,2025-02-24 00:30:00.000000000,claim_status_question,medium,email,resolved,0.5,0,0,5.0,0,0.0
TIC000019,CUST00894,POL00981,2025-03-21 00:00:00,2025-03-28 01:39:36.000000000,discount_dispute,critical,phone,resolved,169.66,0,0,3.0,0,0.0
TIC000020,CUST00503,POL00548,2025-11-18 00:00:00,2025-11-18 16:13:48.000000000,Mileage_Sync_Issue,medium,chat,resolved,16.23,0,0,,0,0.0
TIC000021,CUST00084,POL00092,2025-02-22 00:00:00,,policy_change_request,high,email,pending,0.86,0,0,,0,0.0
TIC000022,CUST00270,POL00291,2025-01-01 00:00:00,,discount_dispute,medium,phone,pending,6.21,0,0,,0,0.0
TIC000023,CUST00043,POL00050,2025-04-27 00:00:00,,payment_failure,medium,phone,pending,24.34,0,1,,0,0.0
TIC000024,CUST00918,POL01008,2025-03-28 00:00:00,,mileage_sync_issue,low,chat,pending,9.31,0,1,,1,40.95
TIC000025,CUST00419,POL00460,2025-02-22 00:00:00,2025-02-23 21:53:24.000000000,policy_change_request,high,phone,resolved,45.89,0,1,,0,0.0
TIC000026,CUST00145,POL00157,2025-11-12 00:00:00,2025-11-18 07:10:48.000000000,claim_status_question,critical,phone,resolved,151.18,0,0,1.0,0,0.0
TIC000027,CUST00676,POL00739,2025-02-13 00:00:00,2025-02-13 04:40:12.000000000,app_login_issue,low,phone,resolved,4.67,0,0,4.0,1,24.07
TIC000028,CUST00804,POL00878,2025-09-29 00:00:00,2025-09-29 16:34:47.999999999,claim_status_question,medium,phone,resolved,16.58,0,0,5.0,0,0.0
TIC000029,CUST00538,POL00588,2025-06-28 00:00:00,2025-07-01 13:34:48.000000000,mileage_sync_issue,high,phone,resolved,85.58,0,0,1.0,0,0.0
TIC000030,CUST00511,POL00556,2025-09-13 00:00:00,,claim_status_question,high,phone,pending,29.33,0,1,,1,12.5
TIC000031,CUST00499,POL00544,2025-12-31 00:00:00,2025-12-31 03:22:12.000000000,mileage_sync_issue,low,chat,resolved,3.37,0,0,4.0,0,0.0
TIC000032,CUST00280,POL00305,2025-12-02 00:00:00,2025-12-05 17:26:24.000000000,billing_issue,high,chat,resolved,89.44,0,1,4.0,0,0.0
TIC000033,CUST00893,POL00980,2025-02-04 00:00:00,,mileage_sync_issue,high,phone,escalated,41.12,1,0,3.0,0,0.0
TIC000034,CUST01086,POL01184,2025-08-07 00:00:00,2025-08-07 07:30:00.000000000,policy_change_request,low,chat,closed_no_action,7.5,0,0,,0,0.0
TIC000035,CUST00603,POL00662,2025-03-07 00:00:00,,billing_issue,critical,email,escalated,131.05,1,0,1.0,0,0.0
TIC000036,CUST00722,POL00789,2025-06-30 00:00:00,2025-07-03 18:32:24.000000000,claim_status_question,high,self_service,closed_no_action,90.54,0,0,,0,0.0
TIC000037,CUST00899,POL00986,2025-12-22 00:00:00,,payment_failure,critical,self_service,escalated,63.53,1,0,,0,0.0
TIC000038,CUST00787,POL00858,2025-10-09 00:00:00,2025-10-09 11:23:24.000000000,account_update_request,medium,phone,resolved,11.39,0,0,4.0,0,0.0
TIC000039,CUST00999,POL01091,2025-10-02 00:00:00,,discount_dispute,low,chat,escalated,2.24,1,0,2.0,0,0.0
TIC000040,CUST00159,POL00172,2025-10-25 00:00:00,,payment_failure,medium,phone,pending,19.93,0,1,,0,0.0
TIC000041,CUST00678,POL00741,2025-01-02 00:00:00,2025-01-03 01:25:12.000000000,discount_dispute,medium,email,resolved,25.42,0,0,2.0,0,0.0
TIC000042,CUST00255,POL00274,2025-02-26 00:00:00,2025-02-26 06:33:00.000000000,app_login_issue,low,self_service,resolved,6.55,0,0,,0,0.0
TIC000043,CUST00791,POL00863,2025-05-05 00:00:00,2025-05-05 00:30:00.000000000,discount_dispute,critical,chat,resolved,0.5,0,1,1.0,0,0.0
TIC000044,CUST00106,POL00115,2025-03-12 00:00:00,,mileage_sync_issue,low,phone,escalated,6.29,1,0,3.0,0,0.0
TIC000045,CUST00272,POL00294,2025-07-13 00:00:00,,APP_LOGIN_ISSUE,low,self_service,pending,9.58,0,0,,0,0.0
TIC000046,CUST00697,POL00762,2025-01-28 00:00:00,2025-01-28 03:21:00.000000000,mileage_sync_issue,low,email,resolved,3.35,0,0,,0,0.0
TIC000047,CUST01094,POL01192,2025-02-07 00:00:00,2025-02-08 21:40:48.000000000,account_update_request,high,email,resolved,45.68,0,1,4.0,1,12.88
TIC000048,CUST00032,POL01217,2025-03-22 00:00:00,2025-03-24 07:01:48.000000000,app_login_issue,critical,phone,resolved,55.03,0,0,4.0,0,0.0
TIC000049,CUST00684,POL00749,2025-03-14 00:00:00,,mileage_sync_issue,medium,email,escalated,5.78,1,0,2.0,0,0.0
TIC000050,CUST01070,POL01166,2025-08-02 00:00:00,2025-08-03 14:28:12.000000000,billing_issue,high,phone,resolved,38.47,0,1,4.0,0,0.0
TIC000051,CUST00561,POL00614,2025-08-29 00:00:00,2025-08-29 07:43:12.000000000,payment_failure,low,chat,resolved,7.72,0,1,5.0,0,0.0
TIC000052,CUST00631,POL00691,2025-08-16 00:00:00,2025-08-16 11:24:00.000000000,app_login_issue,medium,phone,resolved,11.4,0,0,1.0,0,0.0
TIC000053,CUST00941,POL01031,2025-03-24 00:00:00,,app_login_issue,medium,email,pending,7.55,0,0,,0,0.0
TIC000054,CUST00739,POL00812,2025-08-05 00:00:00,2025-08-05 11:05:24.000000000,Account_Update_Request,medium,chat,resolved,11.09,0,0,5.0,0,0.0
TIC000055,CUST00485,POL00529,2025-10-20 00:00:00,2025-10-21 11:51:36.000000000,policy_change_request,high,chat,resolved,35.86,0,0,5.0,0,0.0
TIC000056,CUST00794,POL00868,2025-03-22 00:00:00,2025-03-22 16:37:12.000000000,policy_change_request,medium,phone,resolved,16.62,0,0,,0,0.0
TIC000057,CUST00978,POL01069,2025-07-13 00:00:00,2025-07-13 12:13:12.000000000,billing_issue,medium,phone,resolved,12.22,0,0,5.0,0,0.0
TIC000058,CUST00394,POL00434,2025-07-25 00:00:00,,app_login_issue,medium,phone,escalated,21.7,1,0,3.0,0,0.0
TIC000059,CUST00408,POL00449,2025-07-20 00:00:00,2025-07-20 10:24:00.000000000,billing_issue,low,phone,resolved,10.4,0,0,5.0,1,7.97
TIC000060,CUST00876,POL00960,2025-09-02 00:00:00,,claim_status_question,low,phone,pending,10.47,0,1,,0,0.0
TIC000061,CUST00715,POL00780,2025-03-26 00:00:00,,app_login_issue,low,phone,pending,3.78,0,0,,0,0.0
TIC000062,CUST00364,POL00399,2025-05-19 00:00:00,2025-05-19 07:07:48.000000000,mileage_sync_issue,low,email,resolved,7.13,0,0,3.0,0,0.0
TIC000063,CUST00147,POL00160,2025-07-05 00:00:00,2025-07-05 18:22:12.000000000,claim_status_question,medium,chat,resolved,18.37,0,1,1.0,1,4.59
TIC000064,CUST00530,POL00578,2025-03-25 00:00:00,2025-03-25 05:04:12.000000000,mileage_sync_issue,low,phone,resolved,5.07,0,0,1.0,0,0.0
TIC000065,CUST00125,POL00134,2025-04-19 00:00:00,2025-04-19 22:15:36.000000000,app_login_issue,medium,phone,resolved,22.26,0,1,3.0,0,0.0
TIC000066,CUST00353,POL00385,2025-10-10 00:00:00,,discount_dispute,low,email,pending,11.22,0,1,,0,0.0
TIC000067,CUST00059,POL00067,2025-05-04 00:00:00,2025-05-04 14:42:36.000000000,policy_change_request,medium,chat,resolved,14.71,0,0,4.0,1,1.6
TIC000068,CUST00162,POL00175,2025-10-19 00:00:00,2025-10-19 22:57:36.000000000,app_login_issue,high,chat,resolved,22.96,0,0,2.0,0,0.0
TIC000069,CUST00903,POL00991,2025-01-24 00:00:00,,app_login_issue,high,phone,pending,27.09,0,1,,0,0.0
TIC000070,CUST00178,POL00191,2025-06-08 00:00:00,,app_login_issue,low,phone,escalated,10.49,1,0,3.0,1,16.09
TIC000071,CUST00365,POL00400,2025-06-11 00:00:00,2025-06-11 07:02:24.000000000,payment_failure,low,self_service,resolved,7.04,0,0,3.0,0,0.0
